id,fecha,usuario,texto,tema,sentimiento,likes,reposts
44,02/08/2022,user_5246,"Estudié 5 años para un título que no me sirve, en un mercado laboral. que ya no existe.",Generación Z y crisis de sentido,neutral,13782,2754
45,24/02/2022,user_78201,"Cada clic, cada búsqueda alimenta al algoritmo. que me conoce mejor que mi familia.",IA y pérdida de autonomía humana,positivo,5505,941
46,10/10/2022,user_20155,"Cada clic, cada búsqueda alimenta al algoritmo. que me conoce mejor que mi familia.",IA y pérdida de autonomía humana,positivo,16584,4041
47,20/02/2022,user_46132,"Cada clic, cada búsqueda alimenta al algoritmo. que me conoce mejor que mi familia.",IA y pérdida de autonomía humana,neutral,15675,3055
48,11/11/2022,user_10145,Tengo 500 contactos en WhatsApp. pero me siento más solo que nunca.,Generación Z y crisis de sentido,negativo,6687,2656
49,10/02/2023,user_22593,"la automatización nos quita trabajos, pero también propósito y significado.",IA y pérdida de autonomía humana,neutral,685,3911
50,05/09/2022,user_9838,Renuncié a mi privacidad por comodidad. y ahora no sé cómo recuperarla.,IA y pérdida de autonomía humana,negativo,8235,4801
51,10/03/2022,user_95762,¿Por qué tengo que monetizar mis hobbies. todo es contenido todo es performance.,Generación Z y crisis de sentido,negativo,8346,2066
52,16/05/2022,user_28061,"El algoritmo decide qué veo, qué pienso, qué compro. y ni siquiera me había dado cuenta.",Generación Z y crisis de sentido,neutral,1621,4011
53,06/02/2022,user_68149,crecimos con YouTube creyendo que todos podíamos ser famosos. qué decepción.,Generación Z y crisis de sentido,positivo,9682,3343
54,23/04/2023,user_78694,entre el doom scrolling y las noticias depresivas mi salud mental. va en picada.,Generación Z y crisis de sentido,negativo,15624,600
55,15/06/2022,user_71623,Alexa controla mi casa mi celular mi vida. tiene valor aunque sea lento.,IA y pérdida de autonomía humana,neutral,1555,802
56,28/05/2024,user_94815,"Todos mis amigos están emprendiendo o haciendo side hustles, y yo solo quiero. un trabajo que no me consuma la vida.",Generación Z y crisis de sentido,positivo,18319,926
57,09/09/2024,user_13257,La cultura del hustle nos hizo creer que. no descansar es éxito pero solo estamos agotados.,Generación Z y crisis de sentido,neutral,16862,4800
58,08/03/2024,user_14325,Los algoritmos saben más de mí. que nuestra ética y eso asusta.,IA y pérdida de autonomía humana,neutral,15718,3560
59,01/09/2023,user_63418,"Le pregunto a la IA, cosas que antes, resolvía pensando. estoy perdiendo mi criterio.",IA y pérdida de autonomía humana,negativo,4001,2737
60,14/02/2023,user_93404,"Tinder decide mis matches, LinkedIn mis trabajos, las apps. controlan mi vida social y laboral.",IA y pérdida de autonomía humana,negativo,12525,1719
61,21/08/2022,user_90919,Tres trabajos y aún no me alcanza. cuando claramente nada lo está.,Generación Z y crisis de sentido,negativo,3838,2720
62,20/06/2022,user_27374,"Las apps escuchan, mis conversaciones, porque me aparecen anuncios. de lo que hablo.",IA y pérdida de autonomía humana,positivo,1768,867
63,03/04/2022,user_46582,Tinder decide mis matches LinkedIn mis trabajos. las apps controlan mi vida social y laboral.,IA y pérdida de autonomía humana,negativo,308,2031
64,26/01/2023,user_52388,La IA escribe mejor que yo diseña mejor que yo. y es más rápida ¿qué me queda?.,IA y pérdida de autonomía humana,negativo,158,4092
65,16/11/2023,user_50662,Netflix decide qué veo Amazon qué compro. Instagram qué me gusta perdí mi libre albedrío.,IA y pérdida de autonomía humana,neutral,4411,1195
66,13/05/2022,user_80223,estoy cansado de fingir que todo está bien cuando claramente. nada lo está.,Generación Z y crisis de sentido,negativo,7410,524
67,26/11/2024,user_86212,Los trabajos del futuro no existen todavía. perdiendo habilidades que no recuperaremos.,IA y pérdida de autonomía humana,neutral,15017,1937
68,06/10/2024,user_39931,"Los trabajos del futuro, no existen todavía, y los de ahora. los está tomando la IA.",IA y pérdida de autonomía humana,negativo,143,3595
69,08/12/2022,user_84484,"Estudié 5 años para un título que no me sirve, en un mercado laboral. que ya no existe.",Generación Z y crisis de sentido,negativo,18781,4622
70,10/04/2023,user_2997,"cada vez que uso IA siento que, renuncio a algo de mi humanidad.",IA y pérdida de autonomía humana,negativo,7822,3622
71,09/05/2022,user_28224,"Los trabajos del futuro, no existen todavía, y los de ahora. los está tomando la IA.",IA y pérdida de autonomía humana,positivo,15474,4551
72,11/04/2022,user_27901,Mi ansiedad tiene ansiedad y encima siento culpa. y repetir ¿esto es vivir?.,Generación Z y crisis de sentido,negativo,17640,1493
73,25/09/2024,user_25419,Mi feed está lleno de gente de mi edad siendo CEOs. mientras yo apenas puedo pagar la renta.,Generación Z y crisis de sentido,neutral,3215,393
74,11/06/2022,user_86484,"La IA predice, mis deseos antes, de que los tenga. ¿soy tan predecible?.",IA y pérdida de autonomía humana,negativo,5632,4076
75,06/05/2023,user_29234,Tengo 25 años y siento que debería tener. ahora hay 20 apps y nadie responde.,Generación Z y crisis de sentido,neutral,2775,4162
76,16/10/2022,user_21862,"Zoom, Teams, Discord mi vida social. es 100% digital ¿cuándo fue la última vez que salí?.",Generación Z y crisis de sentido,positivo,10125,2625
77,29/12/2023,user_45853,"nos están vendiendo la IA como solución, pero nadie habla de lo que perdemos.",IA y pérdida de autonomía humana,negativo,19353,4352
78,11/12/2022,user_33948,"El algoritmo decide qué veo, qué pienso, qué compro, y ni siquiera. me había dado cuenta.",Generación Z y crisis de sentido,neutral,3144,1747
79,18/11/2023,user_11245,"Si la IA hace todo, ¿qué sentido tiene, estudiar o trabajar?. crisis existencial 2.0.",IA y pérdida de autonomía humana,neutral,8835,4998
80,16/09/2023,user_13807,Las apps escuchan mis conversaciones. que nuestra ética y eso asusta.,IA y pérdida de autonomía humana,positivo,5706,2160
81,04/10/2024,user_87801,"Netflix decide qué veo, Amazon qué compro, Instagram qué me gusta. perdí mi libre albedrío.",IA y pérdida de autonomía humana,neutral,11505,512
82,17/05/2022,user_85759,Todos hablan del cambio climático. pero nadie hace nada real ¿para qué planear un futuro?.,Generación Z y crisis de sentido,neutral,5394,2843
83,22/09/2022,user_76525,"La IA está en, medicina, justicia, educación, ¿confiamos tanto. en la tecnología?.",IA y pérdida de autonomía humana,neutral,10607,2429
84,09/05/2023,user_26850,Mi trabajo ahora es revisar lo que hace la IA. que olvidamos cómo hacer cosas básicas.,IA y pérdida de autonomía humana,negativo,12215,559
85,29/10/2023,user_26971,"Me preocupa, que la IA tome decisiones, sobre mi vida. sin que yo pueda cuestionarla.",IA y pérdida de autonomía humana,negativo,2861,783
86,02/04/2024,user_97394,Mis papás compraron casa a mi edad. yo apenas puedo pagar mi comida del mes.,Generación Z y crisis de sentido,neutral,7560,1880
87,21/01/2023,user_1220,"Netflix decide qué veo, Amazon qué compro, Instagram qué me gusta. perdí mi libre albedrío.",IA y pérdida de autonomía humana,neutral,3511,1608
88,20/10/2023,user_29921,"Mi feed está lleno de gente de mi edad siendo CEOs, mientras yo. apenas puedo pagar la renta.",Generación Z y crisis de sentido,positivo,13569,967
89,31/10/2022,user_71409,"Empresas reemplazando humanos, con IA y bots, llamándolo. optimización de recursos.",IA y pérdida de autonomía humana,positivo,9507,4874
90,11/03/2022,user_28569,La IA genera arte en 5 segundos. yo tardo horas ¿para qué seguir creando?.,IA y pérdida de autonomía humana,neutral,7665,1509
91,30/11/2024,user_30906,Tinder decide mis matches LinkedIn mis trabajos. las apps controlan mi vida social y laboral.,IA y pérdida de autonomía humana,negativo,11733,407
92,17/08/2023,user_83582,Estudié 5 años para un título que no me sirve. cuando claramente nada lo está.,Generación Z y crisis de sentido,negativo,7434,4177
93,09/11/2023,user_65934,honestamente ya no sé qué es real todo es contenido. todo es performance.,Generación Z y crisis de sentido,neutral,3563,211
94,26/05/2023,user_4272,Estudié 5 años para un título que no me sirve. en un mercado laboral que ya no existe.,Generación Z y crisis de sentido,neutral,339,3740
95,25/03/2023,user_94793,"la IA es útil pero estamos, perdiendo habilidades que no recuperaremos.",IA y pérdida de autonomía humana,negativo,7141,1849
96,24/09/2024,user_96532,"El algoritmo me muestra, solo lo que confirma, mis creencias. vivo en una burbuja digital.",IA y pérdida de autonomía humana,neutral,9016,3619
97,12/04/2022,user_93752,honestamente ya no sé qué es real todo es contenido. todo es performance.,Generación Z y crisis de sentido,neutral,904,133
98,12/01/2023,user_27377,Mis papás compraron casa a mi edad. cuando claramente nada lo está.,Generación Z y crisis de sentido,neutral,15666,759
99,19/12/2022,user_16753,la cultura de internet destruyó nuestra capacidad de estar aburridos. y ahí está la creatividad.,Generación Z y crisis de sentido,negativo,2854,1772
100,02/10/2024,user_57062,"El algoritmo decide qué veo, qué pienso, qué compro, y ni siquiera. me había dado cuenta.",Generación Z y crisis de sentido,negativo,6673,4161
101,26/08/2023,user_13373,Los trabajos del futuro no existen todavía. que nuestra ética y eso asusta.,IA y pérdida de autonomía humana,positivo,18070,2331
102,25/12/2023,user_9772,Las apps escuchan mis conversaciones. tiene valor aunque sea lento.,IA y pérdida de autonomía humana,positivo,16160,1171
103,24/04/2024,user_81385,"cada vez que uso IA siento que, renuncio a algo de mi humanidad.",IA y pérdida de autonomía humana,negativo,11500,3489
104,19/10/2022,user_40118,"cada vez que uso IA siento que, renuncio a algo de mi humanidad.",IA y pérdida de autonomía humana,neutral,2150,1763
105,09/06/2023,user_43636,Me piden 5 años de experiencia para un trabajo entry level. todo es contenido todo es performance.,Generación Z y crisis de sentido,neutral,4514,3929
106,25/03/2024,user_67299,Renuncié a mi privacidad por comodidad. que olvidamos cómo hacer cosas básicas.,IA y pérdida de autonomía humana,negativo,675,1237
107,05/09/2022,user_19325,Me siento perdido entre lo que esperan de mí. mi salud mental va en picada.,Generación Z y crisis de sentido,neutral,11605,62
108,13/05/2024,user_79553,Mi trabajo ahora es revisar lo que hace la IA. que olvidamos cómo hacer cosas básicas.,IA y pérdida de autonomía humana,neutral,4835,2138
109,17/05/2022,user_87584,"mi rutina es scroll, trabajo, scroll, dormir y repetir. ¿esto es vivir?.",Generación Z y crisis de sentido,positivo,19393,2024
110,20/05/2023,user_84819,"Mi ansiedad tiene ansiedad y encima siento culpa, por no estar bien. es un círculo sin fin.",Generación Z y crisis de sentido,negativo,8421,3264
111,10/12/2023,user_43009,honestamente ya no sé qué es real todo es contenido. todo es performance.,Generación Z y crisis de sentido,positivo,3805,1552
112,12/04/2023,user_67696,estoy cansado de fingir que todo está bien cuando claramente. nada lo está.,Generación Z y crisis de sentido,negativo,4122,3000
113,17/07/2023,user_86052,Todos hablan del cambio climático. cuando claramente nada lo está.,Generación Z y crisis de sentido,positivo,6999,2793
114,13/12/2024,user_41992,Mi ansiedad tiene ansiedad y encima siento culpa. gracias TikTok por romper mi atención.,Generación Z y crisis de sentido,negativo,14805,4531
115,09/06/2022,user_68001,"Tengo 500 contactos en WhatsApp, pero me siento. más solo que nunca.",Generación Z y crisis de sentido,negativo,15238,2059
116,30/07/2023,user_12820,"La IA está en medicina, justicia, educación. ¿confiamos tanto en la tecnología?.",IA y pérdida de autonomía humana,negativo,528,1995
117,12/04/2024,user_44528,mi cerebro necesita estímulos constantes gracias TikTok. por romper mi atención.,Generación Z y crisis de sentido,positivo,10261,3621
118,03/02/2023,user_99364,"cada vez que uso IA siento que, renuncio a algo de mi humanidad.",IA y pérdida de autonomía humana,neutral,19019,2017
119,01/09/2022,user_79485,"Renuncié a mi privacidad, por comodidad, y ahora. no sé cómo recuperarla.",IA y pérdida de autonomía humana,neutral,2947,1571
120,20/06/2023,user_56623,La IA genera arte en 5 segundos. que nuestra ética y eso asusta.,IA y pérdida de autonomía humana,positivo,16132,4615
121,23/03/2024,user_88024,"dependemos de la IA para pensar, para crear para decidir. Mal camino.",IA y pérdida de autonomía humana,negativo,10967,1521
122,11/10/2024,user_61480,"Cada clic, cada búsqueda alimenta al algoritmo. tiene valor aunque sea lento.",IA y pérdida de autonomía humana,negativo,357,2169
123,19/10/2023,user_84865,Renuncié a mi privacidad por comodidad. y ahora no sé cómo recuperarla.,IA y pérdida de autonomía humana,neutral,13119,256
124,03/08/2024,user_90374,"Todos mis amigos están en terapia o medicados, y aún así. seguimos funcionando mal.",Generación Z y crisis de sentido,positivo,8617,4307
125,22/10/2022,user_65522,"dependemos de la IA para pensar, para crear para decidir. Mal camino.",IA y pérdida de autonomía humana,negativo,10760,4762
126,31/03/2024,user_47555,Empresas reemplazando humanos con IA y bots. pero nadie habla de lo que perdemos.,IA y pérdida de autonomía humana,negativo,1536,1551
127,10/08/2023,user_73051,Todos mis amigos están en terapia o medicados. mi salud mental va en picada.,Generación Z y crisis de sentido,positivo,7609,2301
128,23/01/2023,user_74246,"dependemos de la IA para pensar, para crear para decidir. Mal camino.",IA y pérdida de autonomía humana,neutral,6482,3996
129,26/05/2022,user_71524,crecimos con YouTube creyendo que todos podíamos ser famosos. qué decepción.,Generación Z y crisis de sentido,positivo,16481,3397
130,16/07/2024,user_4796,Me preocupa que la IA tome decisiones. sobre mi vida sin que yo pueda cuestionarla.,IA y pérdida de autonomía humana,negativo,910,4332
131,14/09/2022,user_41426,la cultura de internet destruyó nuestra capacidad de estar aburridos. y ahí está la creatividad.,Generación Z y crisis de sentido,neutral,9066,3472
132,31/01/2023,user_66084,"la automatización nos quita trabajos, pero también propósito y significado.",IA y pérdida de autonomía humana,negativo,12617,1616
133,01/10/2024,user_70445,Tinder decide mis matches LinkedIn mis trabajos. las apps controlan mi vida social y laboral.,IA y pérdida de autonomía humana,neutral,9789,1121
134,25/06/2024,user_79611,"Mi trabajo ahora es, revisar lo que hace la IA, básicamente soy. un supervisor de máquinas.",IA y pérdida de autonomía humana,negativo,6982,1704
135,03/01/2023,user_62166,"Tinder decide mis matches, LinkedIn mis trabajos, las apps. controlan mi vida social y laboral.",IA y pérdida de autonomía humana,neutral,10218,2560
136,24/11/2022,user_14958,la cultura de internet destruyó nuestra capacidad de estar aburridos. y ahí está la creatividad.,Generación Z y crisis de sentido,positivo,3129,795
137,25/03/2022,user_20402,"mi rutina es scroll, trabajo, scroll, dormir y repetir. ¿esto es vivir?.",Generación Z y crisis de sentido,negativo,9227,3413
138,01/04/2022,user_99657,entre el doom scrolling y las noticias depresivas mi salud mental. va en picada.,Generación Z y crisis de sentido,negativo,8420,4797
139,16/01/2023,user_67559,La IA genera arte en 5 segundos. yo tardo horas ¿para qué seguir creando?.,IA y pérdida de autonomía humana,negativo,803,318
140,21/05/2022,user_89642,"la IA es útil pero estamos, perdiendo habilidades que no recuperaremos.",IA y pérdida de autonomía humana,positivo,5454,275
141,12/09/2023,user_54777,"dependemos de la IA para pensar, para crear para decidir. Mal camino.",IA y pérdida de autonomía humana,neutral,13128,1204
142,07/12/2024,user_20512,"la IA es útil pero estamos, perdiendo habilidades que no recuperaremos.",IA y pérdida de autonomía humana,neutral,19136,3956
143,09/10/2023,user_36551,antes teníamos Messenger y éramos felices ahora hay 20 apps. y nadie responde.,Generación Z y crisis de sentido,positivo,9425,4396
144,07/04/2023,user_76705,"Si la IA hace todo, ¿qué sentido tiene, estudiar o trabajar?. crisis existencial 2.0.",IA y pérdida de autonomía humana,neutral,3873,4827
145,08/09/2022,user_39973,Empresas reemplazando humanos con IA y bots. tiene valor aunque sea lento.,IA y pérdida de autonomía humana,neutral,8476,1402
146,06/01/2023,user_58262,Alexa controla mi casa mi celular mi vida. perdiendo habilidades que no recuperaremos.,IA y pérdida de autonomía humana,negativo,9736,4047
147,08/11/2023,user_79738,"Todos mis amigos están emprendiendo o haciendo side hustles, y yo solo quiero. un trabajo que no me consuma la vida.",Generación Z y crisis de sentido,neutral,11598,3959
148,18/09/2023,user_43704,Mi ansiedad tiene ansiedad y encima siento culpa. todo es contenido todo es performance.,Generación Z y crisis de sentido,negativo,17161,707
149,22/04/2024,user_91517,Renuncié a mi privacidad por comodidad. y ahora no sé cómo recuperarla.,IA y pérdida de autonomía humana,positivo,11243,4722
150,01/05/2024,user_14549,Me siento perdido entre lo que esperan de mí. y repetir ¿esto es vivir?.,Generación Z y crisis de sentido,neutral,717,3990
151,28/12/2022,user_65477,"nos están vendiendo la IA como solución, pero nadie habla de lo que perdemos.",IA y pérdida de autonomía humana,negativo,8190,4712
152,07/01/2022,user_13077,"Aceptamos términos y condiciones, sin leer, vendiendo nuestros datos. por usar apps gratis.",IA y pérdida de autonomía humana,neutral,3142,2841
153,19/02/2023,user_5605,"cada vez que uso IA siento que, renuncio a algo de mi humanidad.",IA y pérdida de autonomía humana,positivo,8588,3813
154,01/11/2023,user_17728,"TikTok me tiene con una capacidad de atención, de 15 segundos. ya ni puedo ver películas completas.",Generación Z y crisis de sentido,negativo,16827,3152
155,31/08/2023,user_68884,ChatGPT hace mi tarea Google Maps decide mi ruta. Spotify elige mi música ¿todavía pienso por mí mismo?.,IA y pérdida de autonomía humana,positivo,5463,4788
156,23/09/2023,user_46741,entre el doom scrolling y las noticias depresivas mi salud mental. va en picada.,Generación Z y crisis de sentido,positivo,17790,2511
157,06/08/2022,user_92921,"cada vez que uso IA siento que, renuncio a algo de mi humanidad.",IA y pérdida de autonomía humana,positivo,18035,1129
158,16/12/2023,user_70428,"dependemos de la IA para pensar, para crear para decidir. Mal camino.",IA y pérdida de autonomía humana,negativo,1434,666
159,08/04/2022,user_67650,"Le pregunto a la IA, cosas que antes, resolvía pensando. estoy perdiendo mi criterio.",IA y pérdida de autonomía humana,negativo,15974,1670
160,21/07/2023,user_32409,"Llevo 3 días sin dormir bien la presión de ser productivo 24/7, me tiene al borde del colapso. ¿cuándo normalizamos el burnout?.",Generación Z y crisis de sentido,negativo,8120,4354
161,27/05/2022,user_76740,Los algoritmos saben más de mí. renuncio a algo de mi humanidad.,IA y pérdida de autonomía humana,neutral,7011,795
162,13/12/2022,user_76434,ChatGPT hace mi tarea Google Maps decide mi ruta. Spotify elige mi música ¿todavía pienso por mí mismo?.,IA y pérdida de autonomía humana,negativo,12642,897
163,17/12/2024,user_99144,"mi rutina es scroll, trabajo, scroll, dormir y repetir. ¿esto es vivir?.",Generación Z y crisis de sentido,negativo,6328,4989
164,15/07/2022,user_24834,"Cada clic, cada búsqueda alimenta al algoritmo. que olvidamos cómo hacer cosas básicas.",IA y pérdida de autonomía humana,positivo,3107,1401
165,27/01/2022,user_80669,"Los algoritmos saben, más de mí, que yo mismo. es perturbador y conveniente.",IA y pérdida de autonomía humana,negativo,6660,2687
166,29/07/2022,user_43580,TikTok me tiene con una capacidad de atención. de 15 segundos ya ni puedo ver películas completas.,Generación Z y crisis de sentido,positivo,18210,556
167,08/08/2023,user_45077,"la IA es útil pero estamos, perdiendo habilidades que no recuperaremos.",IA y pérdida de autonomía humana,neutral,5893,1481
168,20/08/2024,user_9037,Pasé 2 horas editando una foto para Instagram. y repetir ¿esto es vivir?.,Generación Z y crisis de sentido,positivo,2624,711
169,29/07/2024,user_50569,la cultura de internet destruyó nuestra capacidad de estar aburridos. y ahí está la creatividad.,Generación Z y crisis de sentido,negativo,3390,3540
170,20/12/2024,user_61674,Le pregunto a la IA cosas que antes. resolvía pensando estoy perdiendo mi criterio.,IA y pérdida de autonomía humana,negativo,7964,1133
171,15/10/2022,user_68034,Pasé 2 horas editando una foto para Instagram. que borré a los 10 minutos porque no tuvo suficientes likes.,Generación Z y crisis de sentido,positivo,5383,1498
172,07/06/2024,user_33573,"la eficiencia no es todo a veces el proceso humano, tiene valor aunque sea lento.",IA y pérdida de autonomía humana,negativo,8107,4592
173,21/09/2022,user_7767,Mis papás compraron casa a mi edad. podíamos ser famosos qué decepción.,Generación Z y crisis de sentido,negativo,7100,4710
174,19/12/2022,user_78675,"la tecnología avanza más rápido, que nuestra ética y eso asusta.",IA y pérdida de autonomía humana,positivo,3429,4961
175,14/01/2022,user_64087,"Empresas reemplazando humanos, con IA y bots, llamándolo. optimización de recursos.",IA y pérdida de autonomía humana,neutral,13151,3751
176,28/08/2024,user_66250,"dependemos de la IA para pensar, para crear para decidir. Mal camino.",IA y pérdida de autonomía humana,negativo,16783,3709
177,25/09/2024,user_62226,¿Por qué tengo que monetizar mis hobbies. para que valgan la pena? Solo quiero dibujar sin pensar en vender.,Generación Z y crisis de sentido,positivo,5569,160
178,24/08/2023,user_20185,"Llevo 3 días sin dormir bien la presión de ser productivo 24/7, me tiene al borde del colapso. ¿cuándo normalizamos el burnout?.",Generación Z y crisis de sentido,positivo,12403,2071
179,26/11/2023,user_56657,"Alexa controla mi casa, mi celular mi vida, la IA mi trabajo. ¿dónde estoy yo en todo esto?.",IA y pérdida de autonomía humana,neutral,19414,4857
180,27/07/2022,user_45836,La IA escribe mejor que yo diseña mejor que yo. tiene valor aunque sea lento.,IA y pérdida de autonomía humana,positivo,9471,3737
181,23/04/2024,user_55709,"El algoritmo me muestra, solo lo que confirma, mis creencias. vivo en una burbuja digital.",IA y pérdida de autonomía humana,neutral,19709,2265
182,07/05/2024,user_97901,antes teníamos Messenger y éramos felices ahora hay 20 apps. y nadie responde.,Generación Z y crisis de sentido,neutral,914,3011
183,28/10/2022,user_96144,mi cerebro necesita estímulos constantes gracias TikTok. por romper mi atención.,Generación Z y crisis de sentido,positivo,13230,3511
184,14/04/2022,user_57996,Tres trabajos y aún no me alcanza. de estar aburridos y ahí está la creatividad.,Generación Z y crisis de sentido,neutral,5361,3778
185,02/08/2023,user_72200,"Alexa controla mi casa, mi celular mi vida, la IA mi trabajo. ¿dónde estoy yo en todo esto?.",IA y pérdida de autonomía humana,neutral,8455,4208
